english,farsi
afforest,جنگلکاري کردن
affright,وحشت زده
affront,روبرو دشنام دادن
affusion,عمل پاشيدن
Afghan,افغان
Afghan Arabs,عربهي افغاني
Afghanistan,فغانستان
Afghanistan,افغانستان
Afghans,افاغنه
aflame,مشتعل
afloat,در حرکت
afoot,برپا
aforementioned,مبور
aforementioned,سابق الذکر
aforementioned,بالاگفته
aforementioned,مزبور
aforementioned,اخيرالذکر
aforementioned,ياد شده
aforesaid,مذکور
Afra,افرا
afraid,ترسان
afraid,بيمناک
afraid,خائف
afraid,خوفناک
afraid,ترسنده
Africa,افريقا
Africa,آفريقا
African,افريقيي
African,آفريقيي
African,آفريقيي
African,افريقيي
African American,سياه پوست
African American,سياه پوست
African-American,آفريقيي آمريکيي
Afro American,سياهپوست
Afro-American,سياهپوست
Afsaneh,افسانه
Afsar,افسر
Afshan,افشان
Afshar,افشار
Afshin,افشين
after,از پس
after,پس از
after,پي
after,دنبال
after,بيادبود
after,بعد از ينکه
after,به دنبال
after,پساز
after,پس از ينکه
after,بعد
after,پس از آن که
after,بعد از
after that,بدنبال آن
aftereffect,اثر ثانوي
afterglow,پس تاب
afterglow,پس فروزش
afterlife,عقبي
afterlife,آخرت
aftermath,پسيند
aftermost,عقب ترين
afternoon,عصر
afternoon,نيمروزي
afternoon,بعد از ظهر
afternoon,عصر
aftertaste,لذت ثانوي
aftertaste,لذت بعدي
afterwards,بعد از آن
afterwards,سپس
afterwards,بعد از آن
afterwards,پسازآن
afterwards,بعدا
afterworld,عالمفاني
afterworld,عالمآخرت
again,ديگر بار
again,دو مرتبه
again,مجددا
again,مکرراً
again,دومرتبه
again,دوباره
again,باز
again,باز هم
again,ازنو
against,خلاف
against,عليه
against,بر ضد
against,بخلاف
against,در برابر
against,برضد
against,برخلاف
against,بر خلاف
against,در مقابل
against,روبروي
against,مقابل
against,بر عليه
agalactous,کم شير
agape,درشگفت
agate,عقيق
age,سالخورده شدن
age,عصر
age,قدم
age,پيرنما کردن
age,قدمت
age,سن
age of,سالگي
age of puberty,حد بلوق
age-wise,سني
aged,سالمند
aged,معمر
aged,سالمند
aged,کهنسال
aged,مسن
Agence France-Presse,آژانس فرانس پرس
agency,پيشکاري
agency,کارگزاري
agency,دفترنميندگي
agency,وکالت
agency,نميندگي
agency,بنگاه
agency,آژانس
agenda,برنامه عمليات
agendum,دستور کار
agent,فاعل
agent,عامل
agent,کار گذار
agent,فاعل
agent,پيشکار
agent,مامور
agent,نمينده
agent,عامل
agent,سازه
agentless,بي فاعل
agents,عمال
agents,عوامل
ages,سنين
agewise,سني
agglomerate,جوش آتشفشاني
agglutination,عمل چسباندن
aggrade,خاکريزي کردن
aggravate the situation,مزيد بر علت شدن
aggravated,مشدد
aggravation,تشديد
aggregate,جمع شده
aggregate,متراکم ساختن
aggression,تجاوز
aggression,دست درازي
aggression,تعرض
aggression,درازدستي
aggression,دراز دستي
aggressive,دراز دست
aggressive,پرپشتکار
aggressive,تعرضي
aggressive,پرخاشگر
aggressive,پرتکاپو
aggressive,تجاوز کارانه
aggressive,تجاوزي
aggressive,درازدست
aggressor,متجاوز
aggressor,متجاوز
aggressor,تجاوزکار
aggressor,مهاجم
Aghajari,آغاجري
Aghanur,آقانور
aghast,وحشت زده
Aghazadeh,آقازاده
Aghdas,اقدس
Aghigh,عقيق
Aghil,عقيل
Aghsa,اقصي
agile,سريعالانتقال
agility,سبکبالي
aging,کهنهشدنشراب
aging,سالخوردگي
agiotage,سفته بازي
agitate,بر آشفتن
agitate,سرآسيمه کردن
agitate,آشفته کردن
agitate,مشوش کردن
agitated,آشفته
agitated,متلاطم
agitated,مشوش
agitation,خلجان
agitation,آشفتگي
agitation,تلاطم
agitator,آشوبگر
aglet,کويچ
aglitter,متلالا
aglitter,درتابش
ago,قبل
ago,پيش
agonist,دچار اضطراب
agonistic,مستعد جنگ
agonistic,مشار
agonistic,کوشش آميز
agonizing,رنجآور
agonizing,سوزناک
agonizing to death,جان کندن
agony,سکرات مرگ
agony,رنج
agony of death,نزع
agony of death,احتضار
agree,همري بودن
agree,مماشت کردن
agree,متفق بودن
agree,سازش کردن
agree,توافق داشتن
agree,هم عقيده شدن
agree,توافق کردن
agree,موافقت کردن
agree,موافق بودن
agree,پسندآمدن
agree with,وفق پيدا کردن
agreeable,دلجو
agreeable,سازگار
agreeable,متوافق
agreeing,همزبان
agreement,توافق
agreement,تطابق
agreement,همدلي
agreement,همخواني
agreement,معاهده
agreement,سازگاري
agreement,قرار
agreement,سازش
agreement,مطابقت
agreement,پيمان
agreement,مقاوله
agreement,قرارداد
agreement,موافقت
agreement,ميثاق
agreement,مماشت
agreement,توافقنامه
agreement letter,موافقت نامه
agression,پرخاشگري
agricultural,کشاورزي
agricultural,زراعي
agricultural,زراعتي
agriculture,فلاحت
agriculture,برز
agriculture,کشت و زرع
agriculture,زراعت
agriculture,کشاورزي
agriculture,کشاورزي
agriculture,برزگري
Agriculture Minister,وزير کشاورزي
agrologist,خاکشناس
agronomist,برزشناس
agronomy,برزشناسي
aground,بگل نشسته
aground,درزمين
ague,تب و لرز
agument,مباحه
ah,اف
ah,آه
ah,اوه
ah,آوخ
Ahdiyeh,عهديه
ahead,روبجلو
ahead,جلو
ahead,جلو
Ahmad Ali,احمدعلي
Ahmad Reza,احمدرضا
Ahmed,احمد
Ahmed Chalabi,احمد چلابي
Ahmed Shah Masood,احمد شاه مسعود
Ahmedinejad,احمدي نژاد
ahoy,هي هي
Ahriman,اهريمن
Ahu,آهو
Ahura Mazda,هرمزد
aid,مددکار
aid,معونت
aid,اعانه
aid,دستگيري
aid,مدد
aid,کمکي
aid,يار
aid,معاون
aid,معاظد
aid,مدد کار
aid,عون
aid,نصرت
AIDS,يدز
ailing,ضعيفالبنيه
ailment,نقاهت
aim,مرام
aim,مقصد
aim,کام
aim,نشانگاه
aim,مقصود
aim,نشان
aim,نشانه گرفتن
aim,هدف گيري کردن
aim,نصبالعين
aim,قراول رفتن
aiming,هدف گيري
aiming,نشانه روي
aimless,بدون هدف
aimless,بي مقصد
aimless,بي هدف
aimless,بي مرام
aimlessness,بي هدفي
air,هوا
air,باد دادن
air,هوا خوردن
air,هويي
air,هوا دادن
air base,پيگاه هوائي
air bladder,مثانه هوا
air conditioner,کولر
air conditioning,تهويه مطبوع
air embargo,تحريم هويي
air force,نيروي هويي
air heaviness,خفگي هوا
air mail,پست هويي
Air Peru,آئرو پرو
air pocket,هفره هوائي
air pollution,آلودگي وها
air pump,تلمبه
air tight,هوابندي شده
airborne,هوابرد
aircraft,طياره
aircraft,هواپيميي
aircraft carrie,هواپيما بر
aircraft carrier,هواپيما بر
aircraft carrier,ناو هواپيمابر
aircraft carrier,ناو هوا پيما بر
aircraft industry,هواپيماسازي
aircraft manufacture,هواپيماسازي
aircraft visibility,آسمانه هواپيما
airily,هواسان
airline,ارلين
airline,شرکت هويي
airlines,هواپيميي
airlines,هواپيميي کشوري
airlines,خطوط هويي
airplane,هواپيما
airplane,طياره
airpocket,چاه هويي
airport,پروازگ
airport,فرودگاه
airy,هوا مانند
airy,با روح
aisle,راه رو
aisle,راهرو
aivatrix,زن هوانورد
Akbar,اکبر
Akhtar,اختر
Akhzar Ebrahimi,اخضر ابراهيمي
Akram,اکرم
Akramossadat,اکرمالسادات
Al Badr,البدرگ
Al Gore,ال گور
Al Hayaat,الحيات
Al Jazeera,الجززيره
Al Khafaji,الخفاجي
Al Khalil,الخليل
Al Qaeda,القاعده
Al-Alam,العالم
Al-Araghi,العراقي
Al-Gamaat al Islamia,الجماعت الاسلام
Al-Mahdi Army,ارتش المهدي
Al-Mahdi Army,سپاه المهدي
Al-Mahdi movement,جنبش المهدي
Al-Sadr,الصدر
Alabama,آلاباما
alabaster,مرمرسفيد
Aladdin,علاءالدين
Alaleh,آلاله
alarm,اعلان خطر
alarm,آژير
alarum,شيپور حاضرباش
alarum,ساعت زنگي
alas,افسوس
alas,وه
alas,ي بابا
alas,واحسرتا
alas,هيهات
alas,هي هي
alas,فغان
Albania,آلباني
Albanian,آلبانييي
Albany,آلباني
albeit,ولوينکه
Albert Kohl,آلبرت کهل
Albert Roberts,آلبرت رابرتز
Albertin Robital,آلبرتين روبيتال
Alberto,آلبرتو
Albright,آلبريت
album,آلبوم
albumen,آلبومين
albumin,آلبومين
alchemist,کيمياگر
alchemist,کيمياشناس
alchemistic,کيمياگرانه
alchemy,کيميا
alchemy,کيمياگري
alchoholics,داءالخمر
alcify,آهکي شدن
alcohol,الکل
alcoholic,الکلي
alcoholic,باده پرستي
alcoholic,باده پرست
alcoholic,باده گساري
alcoholic,باده دوست
alcoholic,شرابخور
alcoholic,باده نوش
alcoholic,الکلي
alcoholic,باده گسار
alcoholic drink,مشروب
alcoholic liquors,مسکرات
alcoholism,اعتياد به الکل
Aldebaran,دبران
alder,توسه
alder,توسکا
alderman,دخو
alembic,عرق کشي کردن
alert,مراقب
alert,هشيار
alert,گوش بزنگ
alert,خبردار
alert,هوشيار کردن
alert,بهوش
alertness,بيداري
alertness,هشياري
Alexander,سکندر
Alexander,اسکندر
Alexander Kurzhakov,لکساندر کورژاکف
Alexandria,اسکندريه
Alexandrian,سکندري
algal,جلبکي
algal,خزهي
algebra,جبر
algebra,جبر و مقابله
algebraic,جبري
algebraic language,زبان جبري
Algeria,الجزير
Algerian,الجزيري
algogenic,دردزا
algol,زبان الگول
algologist,جلبک شناس
algology,جلبک شناسي
algorithm,الگوريتم
algorithmic,الگوريتمي
algorithmic language,زبان الگوريتمي
Ali,علي
Ali Abbas,عليعباس
Ali Akbar,علياکبر
Ali Akbar Hashemi Rafsanjani,علي اکبر هاشمي رفسنجاني
Ali Asghar,علياصغر
Ali Ashraf,علياشرف
Ali Baba,عليبابا
Ali Hasan,عليحسن
Ali Karam,عليکرم
Ali Mohammad,عليمحمد
Ali Panah,عليپناه
Ali Shamkhani,علي شمخاني
Aliah,عاليه
Alidad,عليداد
alien,غريب
alien,ناسازگار بودن
alien,غريبه بودن
alien,اجنبي
alienable,قابل فروش
alienate,گريزاندن
alienate,بيگانه سازي
alienate,بيگانه کردن
alienation,بيگانه سازي
aliens,موجودات فضيي
aliform,شبيه بال
align,هم تراز کردن
aligned,هم رديف
aligned,هم رديف
aligner,هم تراز کننده
alignment,هم ترازي
alignment,صف بندي
alike,يکجور
alike,همرنگ
alike,همشکل
alike,بتساوي
alike,همسان
alike,يکجور
alike,همشکل
alike,مانندهم
alike,بتساوي
alikeness,يکجوري
aliment,قوت ليموت
alimental,غذا دهنده
alimentary,رزقي
alimony,نفقه
alimony,خرجي
Alimorad,عليمراد
aliquot,متداخل
Alireza,عليرضا
Alis,آليس
alive,جاندار
alive,زنده
alive,ذوحيات
alive,حي
alkanet,شنگار
alkanet,شنجار
all,جملگي
all,جميع
all,تماما
all,جمله
all,همه
all,تمام
all,همگي
all,همگي
all,تمامي
all,تمام
all,همه
all,کل
all,همگي
all,همه
all around,دورادور
all around,دورتادور
all day long,تمام روز
all life long,مادام العمر
all night long,تمامي شب
all out,بمقدار زياد
all out,باشدت تمام
all over,سرتاسر
all over,سرتاپا
all over,بطور سراسري
all over,سربسر
all over,سراسر
all relative,دارودسته
all that,هرآنچه
all together,جمعا
all-in-one,تنگ بست
Allah Akbar,الله اکبر
Allah Akbar,الله اکبر
Allahbakhsh,اللهبخش
Allahbedasht,اللهبهداشت
Allahyar,اللهيار
Allawi,علاوي
allegation,ادعا
allege,دليل آوردن
alleged,منتسب به
alleged,بنابگفته بعضي
allegorical,مجازي
allegorical,تمثيلي
allegorize,مثل گفتن
allegorize,تمثيل نوشتن
allegory,کنيه
allegory,مجاز
allegory,تمثيل
allegro,نشاط انگيز
allelomorph,دگرشکل
alleluia,سبحان الله
Allen,آلن
Allen Clark,آلن کلارک
Allen Rome,آلن روم
alleviation,تسکين
alleviatory,تسکيني
alley,کوچه
alley,خيابان کوچک
allheal,سنبل الطيب
